Date,Day,Time,Road,RunsRoad,Home,RunsHome,Innings,DH,OriginalScheduleReference,Rescheduled,LinescoreReference,BoxscoreReference,PostponementReason,ShortenedGameReason,NeutralSiteInfo,Notes,Winner,Loser,Tie
5/8/1946,Wed,8:30pm,Fall River,2,Providence,6,,,BG March 17; TSN May 16,,BG0509 PT0509,PJ0509 FR0509,,,,,Providence,Fall River,
5/8/1946,Wed,,Pawtucket,4,Lawrence,9,,,BG March 17; TSN May 16,,PT0509,BG0509 PJ0509 PT0509 TSN0516,,,,"Pawtucket 2B Paul Gaulin HR to left; TSN 5/16/1946 p26: Lefty Ted Harrision ""recently discharged Army captain"" pitched Lawrence to win",Lawrence,Pawtucket,
5/8/1946,Wed,,Nashua,4,Lynn,7,,,BG March 17; TSN May 16,,PJ0509 PT0509,BG0509 NT0509 TSN0516,,,,From BG: Roger Wright brother of Braves Ed Wright got win.,Lynn,Nashua,
5/8/1946,Wed,,Portland,1,Manchester,4,,,BG March 17; TSN May 16,,PJ0509 PT0509,BG0509 TSN0516,,,,From BG: Former 19th century major-leaguer (John) Phenomenal Smith (born 1864) threw out first pitch to Manchester NH mayor Josaphat T. Benoit; Governor Charles M Dale was ceremonial umpire for the first pitch. https://www.baseball-reference.com/players/s/smithph01.shtml,Manchester,Portland,
5/9/1946,Thu,8:15pm,Lawrence,3,Pawtucket,5,,,BG March 17; TSN May 16,,,PJ0510 BG0510 PT0510,,,,"From PT0509: First pitch by Mayor Lawrence A McCarthy to Ted McGrath (""director of public aid"") with Bill Fortin (""pubic works director"") batting and Braves GM John Quinn as umpire; PJ0510 mentions all of them except Quinn. PT0510 says that McCarthy struck out Fortin (""He threw three balls before Fortin finally took a cut""). Pawtucket manager is Hugh Wise. Game time 8:15pm per ad in PT; stories say 8:30pm.",Pawtucket,Lawrence,
5/9/1946,Thu,,Lynn,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/9/1946,Thu,5:30pm,Providence,5,Fall River,7,,,BG March 17; TSN May 16,,PT0510,PJ0510 BG0510 FR0510 TSN0516,,,,From PJ0510: Art Mahan managed and played for Chiefs,Fall River,Providence,
5/9/1946,Thu,,Manchester,12,Portland,1,8,,BG March 17; TSN May 16,,PJ0510 PT0510,BG0510,,Rain,,From PJ0510: Manchester 5 HRs. From BG0510: RF Finfrock hit 2 HR of Manchester's HR.,Manchester,Portland,
5/10/1946,Fri,8:30pm,Nashua,3,Pawtucket,0,,,BG March 17; TSN May 16,,,PJ0511 NT0511,,,,From PT0511: Don Newcombe debut; complete game 2-hitter plus 3 walks 5 strikeouts. Walter Alston player-manager for Dodgers (hit HR).,Nashua,Pawtucket,
5/10/1946,Fri,,Providence,3,Lawrence,4,,,BG March 17; TSN May 16,,,PJ0511,,,,,Lawrence,Providence,
5/10/1946,Fri,,Portland,1,Lynn,10,,,BG March 17; TSN May 16,,PJ0511,,,,,From PJ0511: Catcher Matt Batts grand slam for Lynn,Lynn,Portland,
5/10/1946,Fri,,Fall River,2,Manchester,13,,,BG March 17; TSN May 16,,PJ0511,FR0511,,,,,Manchester,Fall River,
5/11/1946,Sat,8:15pm,Lawrence,6,Providence,19,8,,BG March 17; TSN May 16,,,PJ0512,,Rain,,From PJ0512: Rain-shortened game,Providence,Lawrence,
5/11/1946,Sat,3:30pm,Fall River,,Nashua,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/11/1946,Sat,8pm,Pawtucket,,Manchester,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/12/1946,Sun,3:15pm,Manchester,,Lawrence,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/12/1946,Sun,1:30pm,Providence,4,Lynn,10,,Game1,BG March 17; TSN May 16,,PT0513,BG0513,,,,,Lynn,Providence,
5/12/1946,Sun,,Providence,5,Lynn,3,,Game2,BG March 17; TSN May 16,,PT0513,BG0513,,,,,Providence,Lynn,
5/12/1946,Sun,1:30pm,Nashua,,Fall River,,,Game1,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/12/1946,Sun,,Nashua,,Fall River,,,Game2,BG March 17; TSN May 16,RAINEDOUT,,,Rain,,,,,,
5/12/1946,Sun,2:30pm,Pawtucket,,Portland,,,,BG March 17; TSN May 16,RAINEDOUT,,,Rain: Portland led 1-0 after 1st inning,,,From PJ0513: Portland led 1-0 after first inning when game was called.,,,
